n_topic,seed_a,seed_b,iter_a,iter_b,passes_a,passes_b,mean,median,min,max,std,mad,corpus
10,0,0,50,100,1,1,0.7011763758577150,0.7730061349693250,0.058252427184466000,0.8571428571428570,0.19084992179893400,0.06458489127672700,5
10,1,1,50,100,1,1,0.6883375504245510,0.7421383647798740,0.07692307692307690,0.8764044943820230,0.1880586997679720,0.07313355530891610,5
10,2,2,50,100,1,1,0.6578344490555220,0.7012987012987010,0.13084112149532700,0.8304093567251460,0.16740333676948900,0.07220454545454540,5
10,3,3,50,100,1,1,0.6794634254839440,0.7421383647798740,0.07692307692307690,0.88268156424581,0.1935132378414130,0.07864060013639460,5
10,4,4,50,100,1,1,0.6951607446886920,0.7654320987654320,0.07692307692307690,0.88268156424581,0.1939339055630620,0.05829205001179520,5
10,5,5,50,100,1,1,0.6736579785019530,0.7138130686517780,0.07692307692307690,0.9010989010989010,0.1951202910128120,0.09218620460951740,5
10,6,6,50,100,1,1,0.680951701563766,0.717948717948718,0.09523809523809520,0.88268156424581,0.17751054861443700,0.0816281264747522,5
10,7,7,50,100,1,1,0.6946620640877110,0.75,0.058252427184466000,0.88268156424581,0.19176161198462200,0.0812351767054127,5
10,8,8,50,100,1,1,0.6758996244701660,0.7341772151898730,0.039215686274509800,0.8571428571428570,0.1769996409011750,0.07413901597013660,5
10,9,9,50,100,1,1,0.6758606750782910,0.7301459324357010,0.09523809523809520,0.88268156424581,0.17934492980463400,0.068103833113381,5
10,10,10,50,100,1,1,0.67566579061426,0.7220316838151230,0.039215686274509800,0.8888888888888890,0.18555691018974100,0.08437560975609750,5
10,11,11,50,100,1,1,0.659427816878121,0.7096774193548390,0.07692307692307690,0.8571428571428570,0.1788297463400520,0.0826618876941458,5
10,12,12,50,100,1,1,0.681628431470878,0.7341772151898730,0.07692307692307690,0.8700564971751410,0.1852807700616810,0.07961795166858450,5
10,13,13,50,100,1,1,0.6840924828879410,0.7261146496815290,0.07692307692307690,0.8888888888888890,0.1858790958336220,0.0722837524885223,5
10,14,14,50,100,1,1,0.6764929698024180,0.7261146496815290,0.07692307692307690,0.8700564971751410,0.18667141177238900,0.07504618888935760,5
10,15,15,50,100,1,1,0.6851736803663420,0.7421383647798740,0.07692307692307690,0.8764044943820230,0.1880343080502550,0.07588707772265530,5
10,16,16,50,100,1,1,0.6999989721864610,0.7538819875776400,0.09523809523809520,0.8950276243093920,0.19016189952345800,0.0824945652173914,5
10,17,17,50,100,1,1,0.6776407472460310,0.7261146496815290,0.09523809523809520,0.8505747126436780,0.18429675212441700,0.06952131608768700,5
10,18,18,50,100,1,1,0.6921732393759770,0.7341772151898730,0.09523809523809520,0.8888888888888890,0.1895462553309320,0.07961795166858450,5
10,19,19,50,100,1,1,0.6885989226160590,0.7301459324357010,0.09523809523809520,0.9130434782608700,0.18799248200586300,0.08985454545454540,5
10,20,20,50,100,1,1,0.6891308274900300,0.7301459324357010,0.058252427184466000,0.907103825136612,0.18563077893593200,0.07137034659820280,5
10,21,21,50,100,1,1,0.6840968887371100,0.7301459324357010,0.07692307692307690,0.9130434782608700,0.18737009365034800,0.08559473147992040,5
10,22,22,50,100,1,1,0.6675136676861590,0.7096774193548390,0.1132075471698110,0.8372093023255810,0.18313661322421100,0.07129312762973340,5
10,23,23,50,100,1,1,0.7051227736953870,0.7538819875776400,0.09523809523809520,0.9010989010989010,0.19202677671311900,0.09293835219963980,5
10,24,24,50,100,1,1,0.6820353378282820,0.717948717948718,0.07692307692307690,0.8888888888888890,0.18941535117685700,0.08546300489974060,5
10,25,25,50,100,1,1,0.6824481425097440,0.7261146496815290,0.09523809523809520,0.9010989010989010,0.18633168191033400,0.06952131608768700,5
10,26,26,50,100,1,1,0.6763047226677320,0.7261146496815290,0.1132075471698110,0.8372093023255810,0.17472300316134100,0.05829205001179520,5
10,27,27,50,100,1,1,0.6552250445873520,0.6928104575163400,0.1132075471698110,0.8571428571428570,0.17200073927992400,0.09054465046888320,5
10,28,28,50,100,1,1,0.6625849597567520,0.717948717948718,0.058252427184466000,0.8505747126436780,0.17766390338776300,0.06666911945057650,5
10,29,29,50,100,1,1,0.6800798741041030,0.7261146496815290,0.07692307692307690,0.8636363636363640,0.1774809977517700,0.06212705330204500,5
10,30,30,50,100,1,1,0.6752151938724700,0.7261146496815290,0.09523809523809520,0.8888888888888890,0.17717273409282500,0.07504618888935760,5
10,31,31,50,100,1,1,0.6830674239657840,0.7341772151898730,0.07692307692307690,0.8636363636363640,0.18718561343139800,0.0686600802716888,5
