n_topic,seed_a,seed_b,iter_a,iter_b,passes_a,passes_b,mean,median,min,max,std,mad,corpus
10,0,0,50,50,1,2,0.7414712552847428,0.8095238095238095,0.1132075471698113,0.9010989010989011,0.17104738380328663,0.0525763324940601,05
10,1,1,50,50,1,2,0.7328208385685592,0.7878787878787878,0.1651376146788991,0.9010989010989011,0.17603284373332634,0.07961795166858449,05
10,2,2,50,50,1,2,0.7093416772332588,0.75,0.18181818181818177,0.9010989010989011,0.15808384406688528,0.06959474260679079,05
10,3,3,50,50,1,2,0.7232495745441638,0.7804878048780488,0.1132075471698113,0.9130434782608696,0.17855293826220636,0.0823544660050362,05
10,4,4,50,50,1,2,0.7425465957282931,0.8023952095808383,0.14814814814814814,0.9010989010989011,0.177191572314702,0.0688005997001499,05
10,5,5,50,50,1,2,0.7214045641493858,0.7577639751552795,0.1132075471698113,0.9304812834224598,0.1761503382205481,0.0963000852514919,05
10,6,6,50,50,1,2,0.7267478810831405,0.7692191168673786,0.19819819819819817,0.9130434782608696,0.16699725707401242,0.09570972886762363,05
10,7,7,50,50,1,2,0.742267360857811,0.7878787878787878,0.09523809523809523,0.9010989010989011,0.17168417083549337,0.06781475128644926,05
10,8,8,50,50,1,2,0.7199698790496872,0.7804878048780488,0.14814814814814814,0.8950276243093923,0.17352046499418078,0.07401369276850668,05
10,9,9,50,50,1,2,0.7292603706217308,0.776746969923687,0.19819819819819817,0.9130434782608696,0.16186031132658582,0.06623678332092325,05
10,10,10,50,50,1,2,0.7200151290477159,0.7538819875776397,0.09523809523809523,0.907103825136612,0.1683485406801545,0.07192570294194228,05
10,11,11,50,50,1,2,0.7144590784687628,0.7654320987654322,0.1651376146788991,0.8950276243093923,0.1612216030330288,0.07581415735261872,05
10,12,12,50,50,1,2,0.7333171863101512,0.7804878048780488,0.18181818181818177,0.907103825136612,0.16875761448526302,0.07401369276850668,05
10,13,13,50,50,1,2,0.729941932402149,0.7692191168673786,0.14814814814814814,0.9130434782608696,0.17373946822084965,0.08827652073209166,05
10,14,14,50,50,1,2,0.7225796950685209,0.7654320987654322,0.1132075471698113,0.9130434782608696,0.16710939161121718,0.0703988603988605,05
10,15,15,50,50,1,2,0.732196360091377,0.7951807228915663,0.1651376146788991,0.9010989010989011,0.17288431372588467,0.07864060013639455,05
10,16,16,50,50,1,2,0.7372693319328643,0.791529755385177,0.13084112149532712,0.907103825136612,0.17587428134218147,0.09698443571622893,05
10,17,17,50,50,1,2,0.728471311813824,0.7730061349693251,0.13084112149532712,0.8888888888888888,0.16699280744757788,0.06952131608768695,05
10,18,18,50,50,1,2,0.7315865030591132,0.7730061349693251,0.18181818181818177,0.9189189189189189,0.16976209741472728,0.08336707152496631,05
10,19,19,50,50,1,2,0.7296850306220687,0.7654320987654322,0.18181818181818177,0.9473684210526316,0.17495319255777317,0.0826618876941458,05
10,20,20,50,50,1,2,0.7362830553683515,0.7730061349693251,0.14814814814814814,0.9417989417989419,0.17106592837362794,0.057567756465015066,05
10,21,21,50,50,1,2,0.7278269626912468,0.7692191168673786,0.2142857142857143,0.9247311827956989,0.16717259969357567,0.08949858517260896,05
10,22,22,50,50,1,2,0.7184833791209353,0.7577639751552795,0.18181818181818177,0.907103825136612,0.17159881846148337,0.08718291741703108,05
10,23,23,50,50,1,2,0.7433717628668991,0.7951807228915663,0.1651376146788991,0.9361702127659575,0.17693830887661693,0.09115443037974685,05
10,24,24,50,50,1,2,0.7319743935135663,0.7730061349693251,0.1651376146788991,0.9189189189189189,0.1649601134272696,0.07826696832579182,05
10,25,25,50,50,1,2,0.7259462560842701,0.7654320987654322,0.1651376146788991,0.907103825136612,0.1690010084041719,0.06537037037037029,05
10,26,26,50,50,1,2,0.7302090836170302,0.7730061349693251,0.19819819819819817,0.9010989010989011,0.15734749252775204,0.054141104294478576,05
10,27,27,50,50,1,2,0.7050447596422622,0.75,0.19819819819819817,0.88268156424581,0.15975379505050952,0.08478921568627454,05
10,28,28,50,50,1,2,0.7182439352986385,0.7615980369603559,0.2142857142857143,0.88268156424581,0.15599182043085918,0.06788461538461539,05
10,29,29,50,50,1,2,0.7245873772625209,0.7654320987654322,0.13084112149532712,0.907103825136612,0.16237246617811021,0.06434545520532786,05
10,30,30,50,50,1,2,0.717068889462285,0.75,0.18181818181818177,0.9010989010989011,0.1622401421921959,0.07220454545454544,05
10,31,31,50,50,1,2,0.7285736862293897,0.7804878048780488,0.19819819819819817,0.907103825136612,0.172941265557004,0.07133688652009773,05
10,32,32,50,50,1,2,0.7440225981255683,0.7951807228915663,0.14814814814814814,0.9528795811518325,0.17206236321835672,0.06698493975903615,05
10,33,33,50,50,1,2,0.7057015855295545,0.75,0.13084112149532712,0.907103825136612,0.16770263003198466,0.06698493975903615,05
10,34,34,50,50,1,2,0.7172108726244086,0.7615980369603559,0.19819819819819817,0.8888888888888888,0.16340747516093057,0.09181945628492924,05
10,35,35,50,50,1,2,0.7329001624537804,0.7730061349693251,0.19819819819819817,0.9361702127659575,0.16211267219898118,0.06458489127672701,05
10,36,36,50,50,1,2,0.7117370810591156,0.7421383647798743,0.2142857142857143,0.907103825136612,0.15855321918666976,0.07864060013639455,05
10,37,37,50,50,1,2,0.7348662823531462,0.7804878048780488,0.18181818181818177,0.9189189189189189,0.17441329899102698,0.07133688652009773,05
10,38,38,50,50,1,2,0.7302239024421708,0.7804878048780488,0.18181818181818177,0.88268156424581,0.15974791876448877,0.04934689349112422,05
