n_topic,seed_a,seed_b,iter_a,iter_b,passes_a,passes_b,mean,median,min,max,std,mad,corpus
10,106,107,50,100,1,2,0.501395248,0.496240602,0.387096774,0.620689655,0.050358241,0.049179567,5
10,108,109,50,100,1,2,0.511134291,0.507462687,0.4,0.630136986,0.047946275,0.049565944,5
10,110,111,50,100,1,2,0.506523682,0.507462687,0.37398374,0.657718121,0.052043163,0.050675629,5
10,112,113,50,100,1,2,0.544812271,0.545435312,0.412698413,0.701298701,0.053891488,0.056298214,5
10,114,115,50,100,1,2,0.525534049,0.523965142,0.412698413,0.666666667,0.056072138,0.064181818,5
10,116,117,50,100,1,2,0.524698069,0.523965142,0.37398374,0.639455782,0.054249709,0.041104403,5
10,118,119,50,100,1,2,0.511302471,0.507462687,0.37398374,0.657718121,0.061679262,0.064140169,5
10,120,121,50,100,1,2,0.514397194,0.518518519,0.37398374,0.639455782,0.046945783,0.048833992,5
10,122,123,50,100,1,2,0.497579787,0.496240602,0.412698413,0.611111111,0.041249951,0.049179567,5
10,124,125,50,100,1,2,0.506891324,0.507462687,0.4,0.601398601,0.046817217,0.050675629,5
10,126,127,50,100,1,2,0.507237174,0.496240602,0.37398374,0.630136986,0.049844369,0.049179567,5
10,128,129,50,100,1,2,0.518846993,0.518518519,0.4,0.611111111,0.046092781,0.047748792,5
10,130,131,50,100,1,2,0.519395683,0.518518519,0.387096774,0.657718121,0.05949554,0.049919192,5
10,132,133,50,100,1,2,0.510079261,0.507462687,0.347107438,0.648648649,0.049055825,0.050675629,5
10,134,135,50,100,1,2,0.490514657,0.484848485,0.37398374,0.581560284,0.046394591,0.049919192,5
10,136,137,50,100,1,2,0.51225956,0.518518519,0.360655738,0.639455782,0.058411583,0.067067006,5
10,138,139,50,100,1,2,0.510478804,0.507462687,0.412698413,0.620689655,0.044031213,0.048456259,5
10,140,141,50,100,1,2,0.525728017,0.518518519,0.37398374,0.692810458,0.06387942,0.06513702,5
10,142,143,50,100,1,2,0.520132778,0.507462687,0.4,0.692810458,0.060070304,0.050675629,5
10,144,145,50,100,1,2,0.515751417,0.518518519,0.387096774,0.620689655,0.046357488,0.049919192,5
10,146,147,50,100,1,2,0.504569472,0.501851644,0.387096774,0.701298701,0.063364897,0.059768324,5
10,148,149,50,100,1,2,0.504208882,0.507462687,0.387096774,0.611111111,0.045128667,0.049565944,5
10,150,151,50,100,1,2,0.506308196,0.496240602,0.347107438,0.648648649,0.055052461,0.058271757,5
10,152,153,50,100,1,2,0.526228003,0.529411765,0.42519685,0.630136986,0.051025732,0.062294118,5
10,154,155,50,100,1,2,0.511645512,0.507462687,0.412698413,0.657718121,0.051392034,0.048456259,5
10,156,157,50,100,1,2,0.526784147,0.529411765,0.412698413,0.630136986,0.044237437,0.049179567,5
10,158,159,50,100,1,2,0.51020919,0.507462687,0.360655738,0.630136986,0.050331443,0.064140169,5
10,160,161,50,100,1,2,0.511654051,0.507462687,0.4,0.620689655,0.043072382,0.048456259,5
10,162,163,50,100,1,2,0.503011075,0.507462687,0.412698413,0.601398601,0.042516521,0.040992037,5
10,164,165,50,100,1,2,0.504945638,0.507462687,0.37398374,0.630136986,0.049077408,0.050675629,5
10,166,167,50,100,1,2,0.514901307,0.518518519,0.347107438,0.620689655,0.051214281,0.048833992,5
10,168,169,50,100,1,2,0.513075268,0.518518519,0.360655738,0.611111111,0.041635156,0.03302924,5
10,170,171,50,100,1,2,0.506624676,0.507462687,0.387096774,0.620689655,0.055332763,0.050675629,5
10,172,173,50,100,1,2,0.505045264,0.501851644,0.360655738,0.611111111,0.047870118,0.042356698,5
10,174,175,50,100,1,2,0.514866054,0.518518519,0.37398374,0.648648649,0.062990711,0.06513702,5
10,176,177,50,100,1,2,0.526741392,0.529411765,0.387096774,0.657718121,0.049993651,0.048118137,5
10,178,179,50,100,1,2,0.510987727,0.507462687,0.387096774,0.630136986,0.051644127,0.057407899,5
10,180,181,50,100,1,2,0.504209111,0.496240602,0.4,0.639455782,0.050068527,0.049179567,5
10,182,183,50,100,1,2,0.508203073,0.507462687,0.387096774,0.648648649,0.050248843,0.050675629,5
10,184,185,50,100,1,2,0.522509151,0.518518519,0.412698413,0.620689655,0.04121422,0.047748792,5
